era,launch_year,product_name,category,product_type,shade_code,shade_name,shade_description,finish,finish_group,color_family,shade_depth_order,shade_depth_group,undertone_inferred_cmyk,undertone_confidence,shade_function,c_pct,m_pct,y_pct,k_pct,color_value_source,is_oos
original_launch,2013,Highliner Gel Crayon,Eyes,Eyeliner,52,Intro(vert),Green,Metallic,metallic_shimmer,green,,not_applicable,not_applicable,not_applicable,color_cosmetic,41,0,3,41,source_provided,false
original_launch,2013,Highliner Gel Crayon,Eyes,Eyeliner,0,Blackquer,Black,Matte,matte,black_gray,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,0,0,92,source_provided,false
original_launch,2013,Lust for Lacquer Lip Vinyl,Lips,Lip Gloss,202,Paint It,Soft rose,Gloss,shine_gloss,pink,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,65,58,22,source_provided,false
original_launch,2013,Lust for Lacquer Lip Vinyl,Lips,Lip Gloss,204,Gypsy,Orange,Gloss,shine_gloss,coral_orange,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,76,75,9,source_provided,false
original_launch,2013,Lust for Lacquer Lip Vinyl,Lips,Lip Gloss,206,Fame,Plum,Gloss,shine_gloss,berry_plum,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,78,62,40,source_provided,false
original_launch,2013,Lust for Lacquer Lip Vinyl,Lips,Lip Gloss,208,Truth or Dare,Berry,Gloss,shine_gloss,berry_plum,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,75,42,47,source_provided,false
original_launch,2013,Lust for Lacquer Lip Vinyl,Lips,Lip Gloss,210,Boom Boom,Bright berry,Shimmer,metallic_shimmer,berry_plum,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,92,62,9,source_provided,false
original_launch,2013,Lust for Lacquer Lip Vinyl,Lips,Lip Gloss,212,No Regrets,Red,Gloss,shine_gloss,red,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,90,87,24,source_provided,false
original_launch,2013,Lust for Lacquer Lip Vinyl,Lips,Lip Gloss,302,Kissability,Shimmering lilac pink,Shimmer,metallic_shimmer,pink,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,46,41,16,source_provided,false
original_launch,2013,Lust for Lacquer Lip Vinyl,Lips,Lip Gloss,304,Overprotected,Shimmering pastel,Shimmer,metallic_shimmer,nude,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,33,27,4,source_provided,false
original_launch,2013,Lust for Lacquer Lip Vinyl,Lips,Lip Gloss,306,Sweet Escape,Shimmering beige,Shimmer,metallic_shimmer,nude,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,32,38,7,source_provided,false
original_launch,2013,Lust for Lacquer Lip Vinyl,Lips,Lip Gloss,308,Heart Shaped,Shimmering baby pink,Shimmer,metallic_shimmer,pink,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,53,51,1,source_provided,false
original_launch,2013,Lust for Lacquer Lip Vinyl,Lips,Lip Gloss,310,Studded Kiss,Shimmering berry lavender,Glitter,metallic_shimmer,berry_plum,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,64,14,38,source_provided,false
original_launch,2013,Lust for Lacquer Lip Vinyl,Lips,Lip Gloss,312,Lust for Life,Shimmering reddish raspberry,Glitter,metallic_shimmer,berry_plum,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,87,75,33,source_provided,false
original_launch,2013,Lovemarc Lip Gel,Lips,Lipstick,102,Strange Magic,Beige,Shine,shine_gloss,nude,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,34,40,14,source_provided,false
original_launch,2013,Lovemarc Lip Gel,Lips,Lipstick,106,Moody Margot,Neutral beige,Shine,shine_gloss,nude,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,35,46,20,source_provided,false
original_launch,2013,Lovemarc Lip Gel,Lips,Lipstick,108,Have We Met,Rosy pink,Shine,shine_gloss,pink,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,48,47,15,source_provided,false
original_launch,2013,Lovemarc Lip Gel,Lips,Lipstick,110,Role Play,Mauve,Shine,shine_gloss,berry_plum,,not_applicable,not_applicable,not_applicable,color_cosmetic,0,49,52,36,source_provided,false
